"job_title","job_location","job_country","salary_year_avg","company"
"Data Analyst","Anywhere","India","650000.0","Mantys"
"Director of Analytics","Anywhere","United States","336500.0","Meta"
"Associate Director- Data Insights","Anywhere","United States","255829.5","AT&T"
"Data Analyst, Marketing","Anywhere","United States","232423.0","Pinterest Job Advertisements"
"Data Analyst (Hybrid/Remote)","Anywhere","United States","217000.0","Uclahealthcareers"
"Principal Data Analyst (Remote)","Anywhere","United States","205000.0","SmartAsset"
"Director, Data Analyst - HYBRID","Anywhere","United States","189309.0","Inclusively"
"Principal Data Analyst, AV Performance Analysis","Anywhere","United States","189000.0","Motional"
"Principal Data Analyst","Anywhere","United States","186000.0","SmartAsset"
"ERM Data Analyst","Anywhere","United States","184000.0","Get It Recruit - Information Technology"
