"demand_count","skills","avg_salary"
"40","kafka","129999"
"20","pytorch","125226"
"20","perl","124686"
"24","tensorflow","120647"
"11","cassandra","118407"
"15","atlassian","117966"
"71","airflow","116387"
"59","scala","115480"
"58","linux","114883"
"62","confluence","114153"
"49","pyspark","114058"
"52","mongodb","113608"
"78","gcp","113065"
"187","spark","113002"
"15","splunk","112928"
"102","databricks","112881"
"74","git","112250"
"241","snowflake","111578"
"44","shell","111496"
"37","unix","111123"
"140","hadoop","110888"
"90","pandas","110767"
"23","phoenix","109259"
"29","php","109052"
"12","neo4j","108646"
