"avg","count","skills"
"207320.187500000000","8","sql"
"205937.357142857143","7","python"
"214260.250000000000","6","tableau"
"215313.125000000000","4","r"
"193436.333333333333","3","snowflake"
"215609.833333333333","3","pandas"
"215609.833333333333","3","excel"
"189154.500000000000","2","atlassian"
"189154.500000000000","2","jira"
"222569.250000000000","2","aws"
"222569.250000000000","2","azure"
"189154.500000000000","2","bitbucket"
"189154.500000000000","2","confluence"
"195500.000000000000","2","gitlab"
"195500.000000000000","2","go"
"195500.000000000000","2","numpy"
"203154.500000000000","2","oracle"
"222569.250000000000","2","power bi"
"189309.000000000000","1","jenkins"
"217000.000000000000","1","crystal"
"255829.500000000000","1","powerpoint"
"255829.500000000000","1","pyspark"
"232423.000000000000","1","hadoop"
"189000.000000000000","1","git"
"189309.000000000000","1","sap"
"255829.500000000000","1","jupyter"
"217000.000000000000","1","flow"
"255829.500000000000","1","databricks"
